archive	role	suite	component	size	sha256	publishedSha256	signerFingerprint
noble.InRelease	inrelease	noble	none	255850	cdb2f31d809f589719a53c6ad15f255b27569c4059542ada282aaa21b8e164b0	none	f6ecb3762474eda9d21b7022871920d1991bc93c
noble-main-amd64.Packages	packages	noble	main	7165069	8f6f71ae839c8cba390a7643fcbbdacddb0bc7d12c1583a2dd80a1f8443a30e5	8f6f71ae839c8cba390a7643fcbbdacddb0bc7d12c1583a2dd80a1f8443a30e5	none
noble-universe-amd64.Packages	packages	noble	universe	73379142	687ffc969e7700137677b9cfe2f614ee2d638052a91a7c9bf31f3f6a3040a99a	687ffc969e7700137677b9cfe2f614ee2d638052a91a7c9bf31f3f6a3040a99a	none
noble-updates.InRelease	inrelease	noble-updates	none	126125	994019cd29f2474ae447b68a106d6f3970cc0459586c43e54841d6d7b34dbe0b	none	f6ecb3762474eda9d21b7022871920d1991bc93c
noble-updates-main-amd64.Packages	packages	noble-updates	main	6383688	1ca9cbf1f0e3c233a1bbf3d5d778d086c2ab1d4b54fa0dd76b201c32634b6708	1ca9cbf1f0e3c233a1bbf3d5d778d086c2ab1d4b54fa0dd76b201c32634b6708	none
noble-updates-universe-amd64.Packages	packages	noble-updates	universe	10510177	ec5cc33f2fdcf7893a1f0071808ce6ceee40cde36f1c8d5aa084cfc1ae30e088	ec5cc33f2fdcf7893a1f0071808ce6ceee40cde36f1c8d5aa084cfc1ae30e088	none
noble-security.InRelease	inrelease	noble-security	none	126127	19aa137e4f86cc851cee1a36666829390ee2a09b56a57c46eefbc9b31d8c6b44	none	f6ecb3762474eda9d21b7022871920d1991bc93c
noble-security-main-amd64.Packages	packages	noble-security	main	5020425	eb838d097e7fe20568db81ccbc27a06116cfc10de1df7c3b008ea73e8ec01163	eb838d097e7fe20568db81ccbc27a06116cfc10de1df7c3b008ea73e8ec01163	none
noble-security-universe-amd64.Packages	packages	noble-security	universe	7556314	75357a0865976236c817c89d53d18469b91dbf424dac43437bddfa7e74094b5a	75357a0865976236c817c89d53d18469b91dbf424dac43437bddfa7e74094b5a	none
